RandomState,Accuracy Training,Accuracy Validation,,,
1,78.7037037,82.8358209,,,
2,83.33333333,83.02238806,,,Rs = 38
3,84.25925926,83.58208955,,,
4,79.62962963,83.39552239,,,
5,83.33333333,82.2761194,,,
6,79.62962963,83.20895522,,,
7,87.03703704,83.20895522,,,
8,84.25925926,83.20895522,,,
9,82.40740741,83.20895522,,,
10,77.77777778,83.58208955,,,
11,84.25925926,82.8358209,,,
12,78.7037037,82.8358209,,,
13,91.66666667,82.8358209,,,
14,78.7037037,83.20895522,,,
15,81.48148148,83.39552239,,,
16,83.33333333,82.46268657,,,
17,79.62962963,83.39552239,,,
18,83.33333333,83.02238806,,,
19,82.40740741,83.76865672,,,
20,87.96296296,83.58208955,,,
21,82.40740741,83.58208955,,,
22,86.11111111,83.95522388,,,
23,75,82.2761194,,,
24,88.88888889,83.39552239,,,
25,81.48148148,83.02238806,,,
26,87.03703704,83.58208955,,,
27,82.40740741,83.58208955,,,
28,83.33333333,83.02238806,,,
29,87.03703704,83.76865672,,,
30,85.18518519,83.02238806,,,
31,89.81481481,83.76865672,,,
32,79.62962963,82.8358209,,,
33,87.03703704,83.58208955,,,
34,83.33333333,83.76865672,,,
35,82.40740741,83.58208955,,,
36,82.40740741,82.8358209,,,
37,83.33333333,83.58208955,,,
38,80.55555556,83.95522388,,,
39,79.62962963,83.76865672,,,
40,80.55555556,82.8358209,,,
41,77.77777778,83.02238806,,,
42,81.48148148,84.32835821,,,
43,79.62962963,83.02238806,,,
44,82.40740741,83.39552239,,,
45,76.85185185,83.58208955,,,
46,86.11111111,83.58208955,,,
47,84.25925926,83.58208955,,,
48,75,83.58208955,,,
49,85.18518519,83.20895522,,,
50,85.18518519,82.8358209,,,
51,87.96296296,82.46268657,,,
52,79.62962963,82.64925373,,,
53,84.25925926,83.58208955,,,
54,82.40740741,83.39552239,,,
55,79.62962963,82.8358209,,,
56,86.11111111,83.58208955,,,
57,84.25925926,83.76865672,,,
58,87.96296296,83.95522388,,,
59,87.96296296,83.95522388,,,
60,79.62962963,83.58208955,,,
61,78.7037037,83.39552239,,,
62,88.88888889,83.20895522,,,
63,84.25925926,83.76865672,,,
64,87.03703704,83.95522388,,,
65,79.62962963,83.02238806,,,
66,86.11111111,83.39552239,,,
67,84.25925926,82.64925373,,,
68,81.48148148,82.8358209,,,
69,87.03703704,83.58208955,,,
70,74.07407407,82.2761194,,,
71,85.18518519,83.95522388,,,
72,83.33333333,83.95522388,,,
73,78.7037037,83.76865672,,,
74,83.33333333,83.02238806,,,
75,84.25925926,83.76865672,,,
76,86.11111111,84.14179104,,,
77,86.11111111,84.14179104,,,
78,87.03703704,84.14179104,,,
79,88.88888889,82.64925373,,,
80,89.81481481,83.58208955,,,
81,83.33333333,83.58208955,,,
82,81.48148148,82.2761194,,,
83,81.48148148,83.95522388,,,
84,83.33333333,83.20895522,,,
85,80.55555556,83.02238806,,,
86,76.85185185,82.2761194,,,
87,86.11111111,84.14179104,,,
88,86.11111111,82.8358209,,,
89,87.03703704,83.76865672,,,
90,79.62962963,82.64925373,,,
91,86.11111111,83.76865672,,,
92,77.77777778,82.46268657,,,
93,86.11111111,83.39552239,,,
94,80.55555556,83.58208955,,,
95,84.25925926,81.71641791,,,
96,80.55555556,83.02238806,,,
97,90.74074074,84.14179104,,,
98,78.7037037,83.39552239,,,
99,88.88888889,83.58208955,,,
100,86.11111111,83.58208955,,,
